Compound_ID,Murcko_scaffold_ID
CMR_GOLD_088,SCF_012
CMR_GOLD_089,SCF_012
CMR_GOLD_090,SCF_012
CMR_GOLD_091,SCF_011
CMR_GOLD_092,SCF_011
CMR_GOLD_093,SCF_011
CMR_GOLD_094,SCF_012
CMR_GOLD_095,SCF_012
CMR_GOLD_096,SCF_012
CMR_GOLD_063,SCF_038
CMR_GOLD_064,SCF_038
CMR_GOLD_065,SCF_038
CMR_GOLD_066,SCF_038
CMR_GOLD_067,SCF_038
CMR_GOLD_068,SCF_038
CMR_GOLD_069,SCF_038
CMR_GOLD_070,SCF_039
CMR_GOLD_071,SCF_037
CMR_GOLD_072,SCF_037
CMR_GOLD_018,SCF_035
CMR_GOLD_019,SCF_035
CMR_GOLD_020,SCF_034
CMR_GOLD_021,SCF_035
CMR_GOLD_022,SCF_035
CMR_GOLD_023,SCF_035
CMR_GOLD_024,SCF_035
CMR_GOLD_025,SCF_035
CMR_GOLD_056,SCF_003
CMR_GOLD_073,SCF_043
CMR_GOLD_074,SCF_040
CMR_GOLD_075,SCF_044
CMR_GOLD_076,SCF_041
CMR_GOLD_077,SCF_042
CMR_GOLD_078,SCF_009
CMR_GOLD_079,SCF_009
CMR_GOLD_080,SCF_007
CMR_GOLD_081,SCF_009
CMR_GOLD_082,SCF_005
CMR_GOLD_083,SCF_010
CMR_GOLD_084,SCF_010
CMR_GOLD_085,SCF_008
CMR_GOLD_086,SCF_010
CMR_GOLD_087,SCF_006
CMR_GOLD_001,SCF_036
CMR_GOLD_007,SCF_022
CMR_GOLD_008,SCF_022
CMR_GOLD_009,SCF_022
CMR_GOLD_010,SCF_022
CMR_GOLD_011,SCF_023
CMR_GOLD_012,SCF_033
CMR_GOLD_013,SCF_049
CMR_GOLD_014,SCF_049
CMR_GOLD_016,SCF_048
CMR_GOLD_017,SCF_048
CMR_GOLD_026,SCF_049
CMR_GOLD_027,SCF_031
CMR_GOLD_028,SCF_032
CMR_GOLD_029,SCF_030
CMR_GOLD_030,SCF_030
CMR_GOLD_031,SCF_029
CMR_GOLD_034,SCF_025
CMR_GOLD_035,SCF_025
CMR_GOLD_036,SCF_024
CMR_GOLD_037,SCF_002
CMR_GOLD_038,SCF_002
CMR_GOLD_039,SCF_001
CMR_GOLD_040,SCF_033
CMR_GOLD_041,SCF_033
CMR_GOLD_042,SCF_017
CMR_GOLD_043,SCF_014
CMR_GOLD_044,SCF_014
CMR_GOLD_045,SCF_015
CMR_GOLD_046,SCF_015
CMR_GOLD_047,SCF_018
CMR_GOLD_048,SCF_018
CMR_GOLD_049,SCF_019
CMR_GOLD_050,SCF_019
CMR_GOLD_051,SCF_016
CMR_GOLD_052,SCF_020
CMR_GOLD_053,SCF_013
CMR_GOLD_054,SCF_021
CMR_GOLD_055,SCF_033
CMR_GOLD_057,SCF_004
CMR_GOLD_058,SCF_004
CMR_GOLD_059,SCF_028
CMR_GOLD_060,SCF_028
CMR_GOLD_061,SCF_028
CMR_GOLD_062,SCF_028
CMR_GOLD_002,SCF_045
CMR_GOLD_003,SCF_045
CMR_GOLD_004,SCF_045
CMR_GOLD_005,SCF_046
CMR_GOLD_006,SCF_047
CMR_GOLD_032,SCF_026
CMR_GOLD_033,SCF_027
