feature,corr_feature_shap,q20,q80,mean_shap_low_q20,mean_shap_high_q80,direction_tag,mean_abs_shap
TPSA,0.6276945815794349,63.83,110.11,-0.18443982303142548,-0.11917144805192947,positive,0.16401857137680054
AromaticRings,-0.2301893457652529,3.0,5.0,0.16486474871635437,0.15266703069210052,negative,0.1505984365940094
FractionCSP3,-0.32532136567631037,0.0,0.22190476190476194,0.12163717299699783,0.07497324049472809,negative,0.11137326061725616
HBA,0.3360033975419032,5.0,7.0,0.03578370064496994,0.04299255833029747,positive,0.03907692804932594
MW,0.10293312447972856,286.296,472.4800000000003,0.023046808317303658,0.03354831784963608,positive,0.02980578877031803
MR,0.1365826462594233,80.78428000000001,127.74738000000004,0.02405581809580326,0.03663789853453636,positive,0.029041241854429245
RotB,-0.6644157417513171,2.0,6.0,0.012025974690914154,-0.017322275787591934,negative,0.012974950484931469
HBD,-0.7813877252079338,0.0,2.0,0.010490719228982925,-0.02696714550256729,negative,0.012280228547751904
HeavyAtomCount,-0.056754633586362575,21.6,32.0,-0.007847495377063751,-0.008564102463424206,negative,0.007995563559234142
RingCount,0.11035498891359159,3.0,5.0,-0.0023184362798929214,-0.0020073179621249437,positive,0.002346221823245287
