feature,mean_abs_shap,mean_shap
TPSA,0.16401857137680054,-0.16401857137680054
AromaticRings,0.1505984365940094,0.1505984365940094
FractionCSP3,0.11137326061725616,0.11137326061725616
HBA,0.03907692804932594,0.03907692804932594
MW,0.02980578877031803,0.02980578877031803
MR,0.029041241854429245,0.028904369100928307
RotB,0.012974950484931469,-0.00510786846280098
HBD,0.012280228547751904,0.00032450738945044577
HeavyAtomCount,0.007995563559234142,-0.007995563559234142
RingCount,0.002346221823245287,-0.002346221823245287
