scaffold_smiles,Count,Representative_Compound_ID,Representative_SMILES,GlobalRank
O=c1oc2ccccc2cc1-c1csc(-n2ccc(-c3ccccc3)n2)n1,7,CMR_GOLD_018,O=C1OC2=C(C=C(Br)C=C2)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=CC=C5)=N4)=N3,1
O=c1oc2ccccc2cc1C1=NN2C(=N[N]C2c2ccccc2)SC1,7,CMR_GOLD_063,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=CC=CC=C5,2
O=C1Oc2ccccc2C(=O)/C1=C\NCc1ccccc1,6,CMR_GOLD_088,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C(C)/NCC3=CC(OC)=C(OC)C(OC)=C3,3
O=c1cc(CSc2nc(Nc3ccccc3)c3ccccc3n2)c2ccccc2o1,4,CMR_GOLD_007,O=C1C=C(CSC2=NC3=C(C=CC=C3)C(NC4=CC=CC=C4)=N2)C5=C(C=CC(C(C)(C)C)=C5)O1,4
O=c1ccc2cc3ccoc3cc2o1,4,CMR_GOLD_059,O=C1C=CC2=C(C=C3C(C=CO3)=C2)O1,5
O=c1ccc2ccccc2o1,4,CMR_GOLD_012,O=C1OC2=C(C=CC=C2)C(O)=C1,6
O=C(NCc1cn(-c2cc3ccccc3oc2=O)nn1)c1ccccc1,3,CMR_GOLD_078,O=C(NCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)C4=CC=CC=C4,7
O=C(OCc1cn(-c2cc3ccccc3oc2=O)nn1)c1ccccc1,3,CMR_GOLD_083,O=C(OCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)C4=CC=CC=C4,8
O=C1Oc2ccccc2C(=O)/C1=C(\NCc1ccccc1)c1ccccc1,3,CMR_GOLD_091,O=C1/C(C(C2=C(C=CC=C2)O1)=O)=C(C3=CC=CC=C3)/NCC4=CC(OC)=C(OC)C(OC)=C4,9
O=c1oc2ccccc2cc1CSc1ncnc2c1nc(SCc1cc3ccccc3oc1=O)n2C1CCCO1,3,CMR_GOLD_002,O=C1C(CSC2=NC(N)=NC3=C2N=C(SCC4=CC5=C(C=CC(C)=C5)OC4=O)N3C6[C@@H](O)[C@@H](O)[C@@H](CO)O6)=CC7=C(C=CC(C)=C7)O1,10
O=c1oc2ccccc2cc1Cc1ccccc1,3,CMR_GOLD_013,O=C(OC1=CC=CC=C12)C(C(C3=CC=CC=C3)CC(C)=O)=C2O,11
N=C(Nc1ccccc1)c1cc(=O)oc2ccccc12,2,CMR_GOLD_037,O=C1OC2=CC=CC=C2C(/C(NC3=CC=CC=C3)=N\O)=C1Cl,12
O=C(/C=C/c1cc2ccccc2oc1=O)c1ccc(-c2ccccc2)s1,2,CMR_GOLD_057,O=C1C(/C=C/C(C2=CC=C(C3=CC=C(N(C)C)C=C3)S2)=O)=CC4=C(C=C(N(C)C)C=C4)O1,13
O=c1cc(-c2ncon2)c2ccccc2o1,2,CMR_GOLD_043,O=C1OC2=CC=CC=C2C(C3=NOC=N3)=C1,14
O=c1cc(-c2noc(-c3ccccc3)n2)c2ccccc2o1,2,CMR_GOLD_045,O=C1OC2=CC=CC=C2C(C3=NOC(C4=CC=CC=C4)=N3)=C1,15
O=c1cc(C2=NOCN2)c2ccccc2o1,2,CMR_GOLD_047,O=C1OC2=CC=CC=C2C(C3=NOCN3)=C1,16
O=c1cc(C2=NOCN2c2ccccc2)c2ccccc2o1,2,CMR_GOLD_049,O=C1OC2=CC=CC=C2C(C3=NOCN3C4=CC=CC=C4)=C1,17
O=c1ccc2c(OCCCn3cnc4ccccc43)cc(OCCCn3cnc4ccccc43)cc2o1,2,CMR_GOLD_034,OC(COC1=CC(OCC(CN2C=NC3=C2C=CC=C3)O)=CC4=C1C(C)=CC(O4)=O)CN5C=NC6=C5C=CC=C6,18
O=c1ccc2ccc(OCCCn3cnc4ccccc43)cc2o1,2,CMR_GOLD_029,O=C1OC2=C(C=CC(OCC(O)CN3C=NC4=C3C=CC=C4)=C2)C(C)=C1,19
O=c1oc2ccccc2cc1C1=NN2C(=N[N]C2COc2ccccc2)SC1,2,CMR_GOLD_071,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4COC5=CC=C(Cl)C=C5,20
O=c1oc2ccccc2cc1Cc1cc2ccccc2oc1=O,2,CMR_GOLD_016,O=C1C(C(C(OCC)=O)C2=C(O)C3=CC=CC=C3OC2=O)=C(O)C4=CC=CC=C4O1,21
N=C(NC1CCCCC1)c1cc(=O)oc2ccccc12,1,CMR_GOLD_039,O=C1OC2=CC=CC=C2C(/C(NC3CCCCC3)=N\O)=C1Cl,22
N=C1Nc2ccccc2/C1=N\c1cc2ccccc2oc1=O,1,CMR_GOLD_056,O=C1OC2=C(C=CC=C2)C=C1/N=C(C(C=CC=C3)=C3N4)/C4=N/CC(O)=O,23
O=C(/C=C/c1ccccc1)NCc1cn(-c2cc3ccccc3oc2=O)nn1,1,CMR_GOLD_082,OC(C(OC)=C1)=CC=C1/C=C/C(NCC(N=N2)=CN2C3=CC4=C(C=CC=C4)OC3=O)=O,24
O=C(/C=C/c1ccccc1)OCc1cn(-c2cc3ccccc3oc2=O)nn1,1,CMR_GOLD_087,O=C1OC2=C(C=C1N3C=C(N=N3)COC(/C=C/C4=CC=C(C(OC)=C4)O)=O)C=CC=C2,25
O=C(Cc1ccccc1)NCc1cn(-c2cc3ccccc3oc2=O)nn1,1,CMR_GOLD_080,O=C(NCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)CC4=CC=CC=C4[N+]([O-])=O,26
O=C(Cc1ccccc1)OCc1cn(-c2cc3ccccc3oc2=O)nn1,1,CMR_GOLD_085,O=C(OCC1=CN(C(C2=O)=CC3=C(O2)C=CC=C3)N=N1)CC4=CC=CC=C4[N+]([O-])=O,27
O=c1cc(-c2nc(-c3ccccc3)no2)c2ccccc2o1,1,CMR_GOLD_053,O=C1OC2=CC=CC=C2C(C3=NC(C4=CC=C(OC)C=C4)=NO3)=C1,28
O=c1cc(-c2noc(=S)n2-c2ccccc2)c2ccccc2o1,1,CMR_GOLD_051,O=C1OC2=CC=CC=C2C(C3=NOC(N3C4=CC=CC=C4)=S)=C1,29
O=c1cc(/C=N\Nc2ccccc2)c2ccccc2o1,1,CMR_GOLD_042,O=C1OC2=CC=CC=C2C(/C=N\NC3=CC=CC=C3)=C1,30
O=c1cc(C2=NOS(=O)N2c2ccccc2)c2ccccc2o1,1,CMR_GOLD_052,O=C1OC2=CC=CC=C2C(C3=NOS(N3C4=CC=CC=C4)=O)=C1,31
O=c1cc(C2ON=C(c3ccccc3)O2)c2ccccc2o1,1,CMR_GOLD_054,O=C1OC2=CC=CC=C2C(C3ON=C(C4=CC=C(OC)C=C4)O3)=C1,32
O=c1cc(CSc2nc(Nc3ccncc3)c3ccccc3n2)c2ccccc2o1,1,CMR_GOLD_011,O=C1C=C(CSC2=NC3=C(C=CC=C3)C(NC4=CC=NC=C4)=N2)C5=C(C=CC(C(C)(C)C)=C5)O1,33
O=c1ccc2c(OCCCSc3nc4ccccc4[nH]3)cc(OCCCSc3nc4ccccc4[nH]3)cc2o1,1,CMR_GOLD_036,OC(COC1=CC(OCC(CSC2=NC3=CC=CC=C3N2)O)=CC4=C1C(C)=CC(O4)=O)CSC5=NC6=CC=CC=C6N5,34
O=c1ccc2c(OCCCn3cncn3)cc(OCCCn3cncn3)cc2o1,1,CMR_GOLD_032,OC(COC1=CC(OCC(CN2C=NC=N2)O)=CC3=C1C(C)=CC(O3)=O)CN4C=NC=N4,35
O=c1ccc2c(OCCCn3nnc4ccccc43)cc(OCCCn3nnc4ccccc43)cc2o1,1,CMR_GOLD_033,O=C1OC2=C(C(OCC(O)CN3N=NC4=C3C=CC=C4)=CC(OCC(O)CN5N=NC6=C5C=CC=C6)=C2)C(C)=C1,36
O=c1ccc2ccc(OCCCSc3nc4ccccc4[nH]3)cc2o1,1,CMR_GOLD_031,O=C1OC2=C(C=CC(OCC(O)CSC3=NC4=CC=CC=C4N3)=C2)C(C)=C1,37
O=c1ccc2ccc(OCCCn3cncn3)cc2o1,1,CMR_GOLD_027,O=C1OC2=C(C=CC(OCC(O)CN3C=NC=N3)=C2)C(C)=C1,38
O=c1ccc2ccc(OCCCn3nnc4ccccc43)cc2o1,1,CMR_GOLD_028,O=C1OC2=C(C=CC(OCC(O)CN3N=NC4=C3C=CC=C4)=C2)C(C)=C1,39
O=c1oc2ccc3ccccc3c2cc1-c1csc(-n2ccc(-c3ccccc3)n2)n1,1,CMR_GOLD_020,O=C1OC2=C(C3=C(C=CC=C3)C=C2)C=C1C4=CSC(N5C=C(C=O)C(C6=CC=CC=C6)=N5)=N4,40
O=c1oc2ccccc2cc1C(c1ccccc1)c1cc2ccccc2oc1=O,1,CMR_GOLD_001,COC1=CC=CC=C1C(C2=C(O)C3=C(OC2=O)C=CC=C3)C4=C(O)C5=C(OC4=O)C=CC=C5,41
O=c1oc2ccccc2cc1C1=NN2C(=N[N]C2c2ccncc2)SC1,1,CMR_GOLD_070,O=C1OC2=C(C=C(Br)C=C2)C=C1C(CS3)=NN4C3=N[N]C4C5=CC=NC=C5,42
O=c1oc2ccccc2cc1CNCCc1ccccc1,1,CMR_GOLD_074,COC1=CC=C(C=C1)CCNC(C)C2=C(C3=C(OC2=O)C=CC=C3)[P](OCC)(OCC)=O,43
O=c1oc2ccccc2cc1CNCc1ccccc1,1,CMR_GOLD_076,O=C2C(=C([P](OCC)(OCC)=O)C1=C(C=CC=C1)O2)C(C)NCC3=CC=C(F)C=C3,44
O=c1oc2ccccc2cc1CNc1ccc(-c2cnc3ccccc3c2)cc1,1,CMR_GOLD_077,O=C2C(=C([P](OCC)(OCC)=O)C1=C(C=CC=C1)O2)C(C)NC5=CC=C(C4=C(C(OCC)=O)C3=C(C=CC=C3)N=C4)C=C5,45
O=c1oc2ccccc2cc1CNc1ccc2c(c1)OCCO2,1,CMR_GOLD_073,O=C2C(=C([P](OCC)(OCC)=O)C1=C(C=CC=C1)O2)C(C)NC4=CC3=C(OCCO3)C=C4,46
O=c1oc2ccccc2cc1CNc1cccc2ccccc12,1,CMR_GOLD_075,O=C2C(=C([P](OCC)(OCC)=O)C1=C(C=CC=C1)O2)C(C)NC3=CC=CC4=C3C=CC=C4,47
O=c1oc2ccccc2cc1CSc1ncnc2c1nc(Sc1ccccc1)n2C1CCCO1,1,CMR_GOLD_005,O=C1C(CSC2=NC(N)=NC3=C2N=C(SC4=CC=CC=C4)N3C5[C@@H](O)[C@@H](O)[C@@H](CO)O5)=CC6=C(C=CC(OC)=C6)O1,48
O=c1oc2ccccc2cc1CSc1ncnc2c1ncn2C1CCCO1,1,CMR_GOLD_006,O=C1C(CSC2=NC(N)=NC3=C2N=C(SC#CC#CC#CC#CC#C)N3C4[C@@H](O)[C@@H](O)[C@@H](CO)O4)=CC5=C(C=CC(OC)=C5)O1.[HH].[HH].[HH],49
