feature,gain
ECFP_0227,4.84515905380249
ECFP_0762,2.0246829986572266
ECFP_0171,1.8609312772750854
ECFP_1573,1.0102626085281372
ECFP_0368,0.835511326789856
ECFP_0271,0.7666264772415161
ECFP_0464,0.5960795283317566
ECFP_0807,0.512248158454895
ECFP_0003,0.4418623149394989
ECFP_0103,0.42102980613708496
ECFP_0389,0.4045533537864685
ECFP_0044,0.40312889218330383
ECFP_0724,0.3664895296096802
ECFP_1143,0.3307792544364929
ECFP_1670,0.32451048493385315
ECFP_0118,0.3021986484527588
ECFP_1518,0.2676343321800232
ECFP_0202,0.25751546025276184
ECFP_0983,0.2471761554479599
ECFP_1452,0.24309368431568146
ECFP_1602,0.21989946067333221
ECFP_0192,0.19823206961154938
ECFP_0187,0.19127024710178375
AromaticRings,0.17751933634281158
ECFP_0352,0.15702931582927704
ECFP_1917,0.14252455532550812
ECFP_0147,0.1370640993118286
ECFP_1152,0.127927765250206
ECFP_1238,0.12627184391021729
ECFP_1626,0.10118419677019119
ECFP_0725,0.09959635138511658
ECFP_0926,0.09107957035303116
ECFP_0203,0.07843052595853806
ECFP_1208,0.07712762802839279
ECFP_0080,0.07619776576757431
ECFP_1002,0.07575882226228714
ECFP_0058,0.07082869112491608
ECFP_0255,0.07003159075975418
ECFP_1722,0.06932973116636276
ECFP_0248,0.06576626002788544
FractionCSP3,0.05617350712418556
RotB,0.05247334763407707
ECFP_1164,0.0522255040705204
ECFP_2024,0.05147191137075424
ECFP_0488,0.049260541796684265
ECFP_0016,0.047023940831422806
ECFP_1349,0.043182604014873505
ECFP_1773,0.041847966611385345
ECFP_0852,0.04027857258915901
HBA,0.03990176320075989
ECFP_0197,0.03959911689162254
TPSA,0.03674976900219917
MW,0.03526042029261589
HeavyAtomCount,0.034844715148210526
ECFP_0875,0.034182365983724594
ECFP_0841,0.032796017825603485
ECFP_0961,0.03269355371594429
ECFP_0586,0.03245434910058975
MR,0.031149690970778465
ECFP_0935,0.03061836026608944
ECFP_1455,0.030247801914811134
ECFP_1027,0.029735103249549866
ECFP_0694,0.02531946264207363
HBD,0.02199316956102848
ECFP_1160,0.021617988124489784
ECFP_0133,0.020885398611426353
ECFP_0378,0.020875832065939903
ECFP_1357,0.020020820200443268
ECFP_1536,0.018586905673146248
ECFP_0014,0.016447067260742188
ECFP_0294,0.01640022173523903
ECFP_0695,0.014466856606304646
ECFP_0658,0.013581782579421997
ECFP_1607,0.013341778889298439
ECFP_0343,0.01305394247174263
ECFP_1970,0.01295031700283289
ECFP_1087,0.011979224160313606
ECFP_1047,0.011855977587401867
ECFP_0576,0.010717296972870827
ECFP_0001,0.009804585948586464
ECFP_0675,0.009013790637254715
ECFP_0932,0.007779402658343315
ECFP_0305,0.0070636942982673645
ECFP_0486,0.0068374695256352425
RingCount,0.006740004289895296
ECFP_0896,0.006674774922430515
ECFP_0249,0.006553615443408489
ECFP_1057,0.00627513974905014
ECFP_1855,0.005823609884828329
ECFP_0745,0.005771351978182793
ECFP_0322,0.005096028558909893
ECFP_1912,0.005052398890256882
ECFP_1783,0.0046414220705628395
ECFP_1391,0.00450133578851819
ECFP_1385,0.004210540559142828
ECFP_0238,0.003852768801152706
ECFP_1063,0.003804231761023402
ECFP_0289,0.003802463412284851
ECFP_1097,0.0037097239401191473
ECFP_1128,0.0035863120574504137
ECFP_1542,0.003179245861247182
ECFP_1810,0.0029244122561067343
ECFP_1845,0.002895746612921357
ECFP_0971,0.0026182180736213923
ECFP_0235,0.002564206486567855
ECFP_1086,0.002327898284420371
ECFP_0561,0.002139459131285548
ECFP_1638,0.0019042044878005981
ECFP_0718,0.0017548857722431421
ECFP_1683,0.0015133308479562402
ECFP_0843,0.001149862422607839
ECFP_1199,0.0010383458575233817
ECFP_1088,0.0009697350906208158
ECFP_0997,0.0009152075508609414
ECFP_1808,0.0008318129694089293
ECFP_0736,0.0007736522820778191
ECFP_1276,0.0007044280064292252
ECFP_0191,0.0005213823751546443
ECFP_1665,0.0005108335753902793
ECFP_0406,0.00047185979201458395
ECFP_0323,0.00039840160752646625
ECFP_1733,0.0003284150443505496
ECFP_1631,0.0002672455448191613
ECFP_1468,0.00026308486121706665
ECFP_1922,0.00020917282381560653
ECFP_0597,0.00018548127263784409
ECFP_0033,0.00018105887284036726
ECFP_0116,0.00014289941464085132
ECFP_0045,0.00011692308180499822
ECFP_1114,0.00011136571265524253
ECFP_0341,7.699000707361847e-05
ECFP_0333,7.095979526638985e-05
ECFP_0093,3.091836697421968e-05
ECFP_0114,2.6437621272634715e-05
